ontology,number_of_tokens_jsonld,number_of_tokens_n3,number_of_tokens_nquads,number_of_tokens_nt,number_of_tokens_owl,number_of_tokens_rdf,number_of_tokens_trig,number_of_tokens_ttl,number_of_tokens_loreto
AD-DROP.owl,20583,9457,22038,21924,16427,16427,9913,9457,6416
ADCAD.owl,32602,11628,30799,30582,24549,24549,12496,11628,6082
AGRO.owl,350325,126142,352354,350265,266494,266494,134498,126142,93272
AIO.owl,75412,33910,70107,69703,57618,57618,35526,33910,25634
APAONTO.owl,40112,12542,38727,38468,28821,28821,13578,12542,7634
AURA.owl,32419,11833,30678,30465,24522,24522,12685,11833,6092
BE.owl,47974,17720,46370,46072,35223,35223,18912,17720,10424
BIFO.owl,134713,50356,141584,140751,106580,106580,53688,50356,36024
BIPOM.owl,59705,26661,60814,60477,46223,46223,28009,26661,17322
BIPON.owl,218722,76770,239067,237640,174936,174936,82478,76770,50916
BIRNLEX.owl,65597,26435,68811,68412,49852,49852,28031,26435,12361
BP-METADATA.owl,102109,41201,104691,104068,81733,81733,38916,41201,22423
BRO.owl,188966,90840,212667,211741,143241,143241,94544,90840,58410
CDPEO.owl,29157,12699,33948,33779,22976,22976,13375,12699,4830
CHEAR.owl,418303,152125,427815,425249,316446,316446,162389,152125,116006
CHEMROF.owl,81012,25896,83248,82716,62669,62669,28024,25896,17238
COGAT.owl,32705,11015,34420,34210,24901,24901,11855,11015,6201
CRO.owl,90562,35519,89356,88840,71601,71601,37583,35519,27899
CTENO.owl,144798,55257,169530,168467,122258,122258,57070,55257,37318
CTU BEREADY GEM.owl,1090,535,1033,1025,1141,1141,567,535,352
DREAMDNPTO.owl,77290,37152,89560,89166,60486,60486,38728,37152,22571
DRPSNPTO.owl,84189,40467,94578,94149,65852,65852,42183,40467,24890
EDDA.owl,94452,49464,101932,101490,74884,74884,51232,49464,34993
EGO.owl,651045,271692,732270,727991,545505,545505,288808,271692,214448
EMAPA.owl,71534,27234,69100,68652,53416,53416,29026,27234,16363
FB-CV.owl,83191,37607,79447,79011,62748,62748,39351,37607,27423
FHHO.owl,42511,14073,42198,41930,30861,30861,15145,14073,8814
FNS-H.owl,475302,172854,510938,508014,366660,366660,184550,172854,125522
GAMUTS.owl,47199,15455,46717,46411,35885,35885,16679,15455,9715
GBM.owl,45941,16331,46868,46580,34143,34143,17483,16331,8997
GDCO.owl,188464,83751,196715,195658,155756,155756,87979,83751,68299
GEOSPECIES.owl,208645,76109,234999,233384,185000,185000,82569,76109,43753
GFO-BIO.owl,84376,35565,87861,87340,65103,65103,37649,35565,20828
HEIO.owl,89402,60063,92082,91798,76639,76639,61199,60063,53611
HIVMT.owl,45058,18037,50562,50301,34468,34468,19081,18037,11653
HIVO004.owl,105808,49738,126167,125575,83762,83762,52106,49738,26668
HOOM.owl,42136,14566,42775,42516,30845,30845,15602,14566,9654
HTO.owl,3361,1223,3497,3475,2886,2886,1311,1223,833
IDO.owl,241279,99395,248282,246882,194629,194629,104995,99395,79067
ILLNESSINJURY.owl,18323,6621,18732,18620,13767,13767,7069,6621,4421
ISO-FOOD.owl,3963,1613,4125,4100,3398,3398,1713,1613,915
ISO19110.owl,170247,61902,195233,193888,154294,154294,67282,61902,36223
ISO19115ROLES.owl,19115,7625,23296,23187,14794,14794,8061,7625,4339
LIFO.owl,280908,121284,290239,288687,226663,226663,127492,121284,97729
M4M-21-VARIABLES.owl,6727,2501,6190,6147,5412,5412,2673,2501,1592
M4M19-SUBS.owl,14432,4538,13325,13228,11059,11059,4926,4538,2658
MATRCOMPOUND.owl,7555,3276,7672,7626,6261,6261,2805,3276,1934
MHMO.owl,180338,74132,190051,188976,145772,145772,78432,74132,53640
MI.owl,122301,59828,115522,114907,95121,95121,62288,59828,44852
MOOCCIADO.owl,185147,80958,205827,204514,145825,145825,86210,80958,42513
MOOCCUADO.owl,144084,62239,159684,158659,113170,113170,66339,62239,32354
MOP.owl,59064,21570,56865,56525,45681,45681,22930,21570,16929
NCRO.owl,152622,59311,155132,154196,120610,120610,63055,59311,43231
NEO.owl,51196,18566,52653,52343,37691,37691,19806,18566,11010
NGBO.owl,240094,90006,243707,242280,186306,186306,95714,90006,68832
NIFDYS.owl,503984,218033,504211,501590,391983,391983,228517,218033,171029
OARCS.owl,70009,28752,67053,66648,52438,52438,30372,28752,18829
OBOREL.owl,1432384,674327,1460442,1453546,1172312,1172312,701911,674327,382061
OGMS.owl,252802,113405,285361,283749,217964,217964,117414,113405,88144
OGSF.owl,262185,115814,275526,274055,216501,216501,121698,115814,93584
OMV.owl,60657,26899,62559,62185,48337,48337,18938,26899,12508
ONTOAD.owl,421683,192402,427612,425242,323799,323799,201882,192402,122359
OPL.owl,203391,78303,204748,203557,159629,159629,83067,78303,61705
OPMI.owl,101218,33221,99921,99286,77905,77905,35761,33221,24504
PARTUMDO.owl,43450,14448,43310,43036,31606,31606,15544,14448,8817
PAYOR.owl,5322,1928,5132,5098,4270,4270,2064,1928,1229
PE-O.owl,172534,78893,212225,210903,153149,153149,74958,78893,47696
PINO.owl,51713,19920,55814,55507,38817,38817,21148,19920,10922
PREO.owl,46612,17322,46438,46137,35283,35283,18526,17322,8497
PSIMOD.owl,177245,64095,170249,169226,130917,130917,68187,64095,48916
PTO.owl,149400,63385,141317,140493,110495,110495,66681,63385,44055
PW.owl,106201,51422,101222,100686,82373,82373,53566,51422,38411
RCTV2.owl,44122,15824,44416,44144,32676,32676,16912,15824,9839
RO.owl,68847,26477,64856,64439,52407,52407,28145,26477,17489
RPO.owl,44026,18320,49752,49492,33944,33944,19360,18320,8069
SIO.owl,53164,19734,51443,51117,39058,39058,21038,19734,11078
SOCPRES.owl,34582,13608,35119,34902,26529,26529,14476,13608,6328
SP ONTOLOGY.owl,1090,535,1033,1025,1141,1141,567,535,352
TEMPO.owl,2873,1550,2683,2669,2692,2692,1606,1550,1350
TIMEBANK.owl,94230,32629,91793,91171,72182,72182,35117,32629,20514
TMA.owl,20368,8612,21137,21008,16034,16034,9128,8612,3898
TMO.owl,207574,89876,256403,254792,183818,183818,87833,89876,54344
TOCWWE.owl,71199,35277,89812,89443,57090,57090,36753,35277,17361
TRANS.owl,39416,12818,38435,38183,28574,28574,13826,12818,7576
VFB DRIVERS.owl,1090,535,1033,1025,1141,1141,567,535,352
VODANA-MI.owl,47406,18881,47523,47246,35691,35691,19989,18881,11851
XREF-FUNDER-REG.owl,34869,11279,32266,32033,26192,26192,12211,11279,6521
